Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,3.8,5.6,1.7,0.0,4.2,4.5
1,2016-01-02,9.0,12.0,5.1,0.0,3.2,4.4
2,2016-01-03,9.9,12.8,7.8,0.0,5.9,2.9
3,2016-01-04,8.3,12.7,4.5,0.0,2.2,4.0
4,2016-01-05,4.4,6.8,1.9,0.0,6.5,4.7
5,2016-01-06,4.4,6.8,1.7,0.0,4.7,3.7
6,2016-01-07,3.8,6.1,1.7,0.0,6.0,5.7
7,2016-01-08,4.5,6.6,2.4,0.0,4.4,3.4
8,2016-01-09,3.3,5.4,1.6,0.0,7.0,4.3
9,2016-01-10,5.0,7.7,1.1,0.0,3.2,5.5
10,2016-01-11,1.0,3.3,-0.6,0.0,8.1,5.6
11,2016-01-12,0.8,2.9,-0.7,0.0,2.3,4.5
12,2016-01-13,3.7,7.4,-0.1,0.0,7.5,3.9
13,2016-01-14,3.1,7.0,0.2,0.0,8.9,5.0
14,2016-01-15,1.6,4.5,-0.2,0.0,5.0,4.5
15,2016-01-16,0.8,3.6,-0.9,0.0,2.5,4.1
16,2016-01-17,2.3,5.1,-1.0,0.0,5.0,3.9
17,2016-01-18,3.9,6.4,1.9,53.5,0.0,9.0
18,2016-01-19,2.9,4.2,1.3,0.0,0.7,5.7
19,2016-01-20,2.4,5.0,0.3,0.0,8.6,5.6
20,2016-01-21,2.1,4.8,0.2,0.0,4.4,4.6
21,2016-01-22,1.3,3.8,-0.6,0.0,7.9,5.6
22,2016-01-23,1.0,2.6,-0.6,0.0,0.0,4.3
23,2016-01-24,0.4,1.8,-1.1,6.5,1.1,5.4
24,2016-01-25,0.2,2.5,-1.4,0.0,7.1,5.4
25,2016-01-26,4.8,7.3,0.6,0.0,6.7,2.8
26,2016-01-27,5.6,9.5,3.1,0.0,1.5,4.6
27,2016-01-28,5.2,8.0,2.6,0.0,5.0,5.0
28,2016-01-29,1.9,2.9,0.2,5.5,0.0,4.7
29,2016-01-30,1.2,2.2,0.4,5.0,0.1,4.0
30,2016-01-31,2.0,4.7,0.5,0.0,7.6,4.8
31,2016-02-01,0.7,2.0,-0.1,0.0,0.3,4.9
32,2016-02-02,1.0,3.7,-0.5,0.0,5.2,5.6
33,2016-02-03,1.3,4.8,-1.2,0.0,7.1,3.9
34,2016-02-04,3.6,6.7,0.4,0.0,7.2,2.4
35,2016-02-05,4.1,6.5,2.3,0.0,6.2,4.7
36,2016-02-06,2.5,5.3,0.6,0.0,2.8,4.4
37,2016-02-07,0.1,2.9,-1.1,0.0,8.3,6.6
38,2016-02-08,3.1,7.0,-0.6,0.0,9.7,2.4
39,2016-02-09,5.3,9.3,1.8,0.0,6.5,4.1
40,2016-02-10,1.6,4.0,0.2,0.0,3.6,6.6
41,2016-02-11,2.3,4.9,-0.3,0.0,8.8,6.1
42,2016-02-12,5.4,8.1,0.9,0.0,9.8,1.7
43,2016-02-13,9.5,13.7,6.8,0.0,2.9,2.4
44,2016-02-14,12.0,16.6,8.5,5.0,2.1,4.7
45,2016-02-15,3.0,8.5,-1.4,0.0,0.4,6.5
46,2016-02-16,1.9,5.9,-2.1,0.0,8.9,4.2
47,2016-02-17,2.1,5.1,-0.8,0.0,9.2,5.8
48,2016-02-18,4.7,7.9,-0.7,0.0,10.0,3.5
49,2016-02-19,8.0,11.5,4.8,0.0,9.1,3.6
50,2016-02-20,7.8,9.6,6.3,30.0,0.2,3.5
51,2016-02-21,6.7,9.9,2.4,0.5,7.1,6.6
52,2016-02-22,2.9,5.8,1.0,0.0,4.2,3.9
53,2016-02-23,5.7,8.2,2.5,0.0,4.3,2.3
54,2016-02-24,0.9,4.6,-1.7,0.0,3.5,8.4
55,2016-02-25,0.5,4.5,-1.8,0.0,9.2,4.6
56,2016-02-26,2.6,6.3,-1.0,0.0,8.7,3.8
57,2016-02-27,4.1,7.4,1.5,0.0,8.4,3.4
